run,arm,seed,step,train_win_rate,difficulty
dbase-s27,dbase,27,3965952,0.52,-1.0
dbase-s27,dbase,27,3996672,0.56,-1.0
dbase-s27,dbase,27,4027392,0.57,-1.0
dbase-s27,dbase,27,4058112,0.61,-1.0
dbase-s27,dbase,27,4088832,0.58,-1.0
dbase-s27,dbase,27,4119552,0.55,-1.0
dbase-s27,dbase,27,4150272,0.6,-1.0
dbase-s27,dbase,27,4180992,0.57,-1.0
dbase-s27,dbase,27,4211712,0.59,-1.0
dbase-s27,dbase,27,4242432,0.57,-1.0
dbase-s27,dbase,27,4273152,0.65,-1.0
dbase-s27,dbase,27,4303872,0.6,-1.0
dbase-s27,dbase,27,4334592,0.67,-1.0
dbase-s27,dbase,27,4365312,0.63,-1.0
dbase-s27,dbase,27,4396032,0.65,-1.0
dbase-s27,dbase,27,4426752,0.67,-1.0
dbase-s27,dbase,27,4457472,0.65,-1.0
dbase-s27,dbase,27,4488192,0.69,-1.0
dbase-s27,dbase,27,4518912,0.68,-1.0
dbase-s27,dbase,27,4549632,0.64,-1.0
dbase-s27,dbase,27,4580352,0.66,-1.0
dbase-s27,dbase,27,4611072,0.67,-1.0
dbase-s27,dbase,27,4641792,0.67,-1.0
dbase-s27,dbase,27,4672512,0.73,-1.0
dbase-s27,dbase,27,4703232,0.7,-1.0
dbase-s27,dbase,27,4733952,0.7,-1.0
dbase-s27,dbase,27,4764672,0.71,-1.0
dbase-s27,dbase,27,4795392,0.73,-1.0
dbase-s27,dbase,27,4826112,0.67,-1.0
dbase-s27,dbase,27,4856832,0.74,-1.0
dbase-s27,dbase,27,4887552,0.67,-1.0
dbase-s27,dbase,27,4918272,0.66,-1.0
dbase-s27,dbase,27,4948992,0.64,-1.0
dbase-s27,dbase,27,4979712,0.72,-1.0
dbase-s27,dbase,27,5010432,0.74,-1.0
dbase-s27,dbase,27,5041152,0.78,-1.0
dbase-s27,dbase,27,5071872,0.75,-1.0
dbase-s27,dbase,27,5102592,0.74,-1.0
dbase-s27,dbase,27,5133312,0.76,-1.0
dbase-s27,dbase,27,5164032,0.71,-1.0
dbase-s27,dbase,27,5194752,0.71,-1.0
dbase-s27,dbase,27,5225472,0.74,-1.0
dbase-s27,dbase,27,5256192,0.8,-1.0
dbase-s27,dbase,27,5286912,0.78,-1.0
dbase-s27,dbase,27,5317632,0.79,-1.0
dbase-s27,dbase,27,5348352,0.78,-1.0
dbase-s27,dbase,27,5379072,0.76,-1.0
dbase-s27,dbase,27,5409792,0.8,-1.0
