run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
director-on-s31,director-on,31,4703232,0.58,,-0.718,,,,,,,
director-on-s31,director-on,31,4733952,0.56,,-0.679,,,,,,,
director-on-s31,director-on,31,4764672,0.61,,-0.647,,,,,,,
director-on-s31,director-on,31,4795392,0.51,,-0.636,,,,,,,
director-on-s31,director-on,31,4826112,0.59,,-0.598,,,,,,,
director-on-s31,director-on,31,4856832,0.56,,-0.58,,,,,,,
director-on-s31,director-on,31,4887552,0.57,,-0.54,,,,,,,
director-on-s31,director-on,31,4918272,0.5,,-0.513,,,,,,,
director-on-s31,director-on,31,4948992,0.57,,-0.513,,,,,,,
director-on-s31,director-on,31,4979712,0.48,,-0.489,,,,,,,
director-on-s31,director-on,31,5010432,0.5,,-0.462,,,,,,,
director-on-s31,director-on,31,5041152,0.57,,-0.44,,,,,,,
director-on-s31,director-on,31,5071872,0.56,,-0.44,,,,,,,
director-on-s31,director-on,31,5102592,0.58,,-0.424,,,,,,,
director-on-s31,director-on,31,5133312,0.58,,-0.384,,,,,,,
director-on-s31,director-on,31,5164032,0.64,,-0.361,,,,,,,
director-on-s31,director-on,31,5194752,0.53,,-0.319,,,,,,,
director-on-s31,director-on,31,5225472,0.53,,-0.279,,,,,,,
director-on-s31,director-on,31,5256192,0.55,,-0.232,,,,,,,
director-on-s31,director-on,31,5286912,0.54,,-0.22,,,,,,,
director-on-s31,director-on,31,5317632,0.57,,-0.206,,,,,,,
director-on-s31,director-on,31,5348352,0.59,,-0.168,,,,,,,
director-on-s31,director-on,31,5379072,0.56,,-0.146,,,,,,,
director-on-s31,director-on,31,5409792,0.54,,-0.116,,,,,,,
director-on-s31,director-on,31,5440512,0.6,,-0.093,,,,,,,
director-on-s31,director-on,31,5471232,0.64,,-0.071,,,,,,,
director-on-s31,director-on,31,5501952,0.63,,-0.057,,,,,,,
director-on-s31,director-on,31,5532672,0.71,,-0.015,,,,,,,
director-on-s31,director-on,31,5563392,0.64,,0.0,,,,,,,
director-on-s31,director-on,31,5594112,0.52,,0.0,,,,,,,
director-on-s31,director-on,31,5624832,0.59,,0.0,,,,,,,
director-on-s31,director-on,31,5655552,0.52,,0.0,,,,,,,
director-on-s31,director-on,31,5686272,0.54,,0.0,,,,,,,
director-on-s31,director-on,31,5716992,0.61,,0.0,,,,,,,
