run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-obj-cur-s41,w10s-obj-cur,41,1999872,0.16,0.695,-1.0,-0.6834,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2030592,0.16,0.662,-1.0,-0.6183,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2061312,0.12,0.684,-1.0,-0.6881,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2092032,0.11,0.624,-1.0,-0.7085,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2122752,0.13,0.665,-1.0,-0.7155,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2153472,0.14,0.737,-1.0,-0.5286,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2184192,0.19,0.734,-1.0,-0.8424,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2214912,0.2,0.73,-1.0,-0.7304,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2245632,0.15,0.61,-1.0,-0.6446,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2276352,0.17,0.717,-1.0,-0.4211,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2307072,0.15,0.674,-1.0,-0.4033,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2337792,0.18,0.697,-1.0,-0.5859,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2368512,0.23,0.745,-1.0,-0.5547,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2399232,0.24,0.733,-1.0,-0.5302,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2429952,0.15,0.647,-1.0,-0.497,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2460672,0.23,0.743,-1.0,-0.7838,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2491392,0.17,0.666,-1.0,-0.5446,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2522112,0.18,0.674,-1.0,-0.5717,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2552832,0.16,0.689,-1.0,-0.5252,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2583552,0.16,0.698,-1.0,-0.5769,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2614272,0.23,0.732,-1.0,-0.4731,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2644992,0.2,0.725,-1.0,-0.6167,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2675712,0.24,0.751,-1.0,-0.3476,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2706432,0.17,0.694,-1.0,-0.2278,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2737152,0.24,0.702,-1.0,-0.2861,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2767872,0.21,0.753,-1.0,-0.6154,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2798592,0.2,0.75,-1.0,-0.5374,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2829312,0.23,0.783,-1.0,-0.5188,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2860032,0.24,0.741,-1.0,-0.4516,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2890752,0.28,0.812,-1.0,-0.3294,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2921472,0.18,0.718,-1.0,-0.3424,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2952192,0.18,0.721,-1.0,-0.3047,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,2982912,0.33,0.791,-1.0,-0.545,0.0,0.0,0.0,0.0,1.0,0.95
